"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Age of Mother"	"Age of Mother Code"	"Marital Status"	"Marital Status Code"	"Education"	"Education Code"	Births
	"2003"	"2003"	"February"	"2"	"25-29 years"	"25-29"	"Unmarried"	"2"	"Excluded"	"999"	1193
	"2003"	"2003"	"February"	"2"	"30-34 years"	"30-34"	"Married"	"1"	"0 -  8 years"	"19176"	2135
	"2003"	"2003"	"February"	"2"	"30-34 years"	"30-34"	"Married"	"1"	"9 - 11 years"	"19177"	2293
	"2003"	"2003"	"February"	"2"	"30-34 years"	"30-34"	"Married"	"1"	"12 years"	"19178"	10575
	"2003"	"2003"	"February"	"2"	"30-34 years"	"30-34"	"Married"	"1"	"13 - 15 years"	"19179"	12523
	"2003"	"2003"	"February"	"2"	"30-34 years"	"30-34"	"Married"	"1"	"16 years and over"	"16+"	29779
	"2003"	"2003"	"February"	"2"	"30-34 years"	"30-34"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	708
	"2003"	"2003"	"February"	"2"	"30-34 years"	"30-34"	"Married"	"1"	"Excluded"	"999"	3788
	"2003"	"2003"	"February"	"2"	"30-34 years"	"30-34"	"Unmarried"	"2"	"0 -  8 years"	"19176"	1028
	"2003"	"2003"	"February"	"2"	"30-34 years"	"30-34"	"Unmarried"	"2"	"9 - 11 years"	"19177"	1648
	"2003"	"2003"	"February"	"2"	"30-34 years"	"30-34"	"Unmarried"	"2"	"12 years"	"19178"	3877
	"2003"	"2003"	"February"	"2"	"30-34 years"	"30-34"	"Unmarried"	"2"	"13 - 15 years"	"19179"	2443
	"2003"	"2003"	"February"	"2"	"30-34 years"	"30-34"	"Unmarried"	"2"	"16 years and over"	"16+"	1328
	"2003"	"2003"	"February"	"2"	"30-34 years"	"30-34"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	196
	"2003"	"2003"	"February"	"2"	"30-34 years"	"30-34"	"Unmarried"	"2"	"Excluded"	"999"	568
	"2003"	"2003"	"February"	"2"	"35-39 years"	"35-39"	"Married"	"1"	"0 -  8 years"	"19176"	1145
	"2003"	"2003"	"February"	"2"	"35-39 years"	"35-39"	"Married"	"1"	"9 - 11 years"	"19177"	908
	"2003"	"2003"	"February"	"2"	"35-39 years"	"35-39"	"Married"	"1"	"12 years"	"19178"	5146
	"2003"	"2003"	"February"	"2"	"35-39 years"	"35-39"	"Married"	"1"	"13 - 15 years"	"19179"	5828
	"2003"	"2003"	"February"	"2"	"35-39 years"	"35-39"	"Married"	"1"	"16 years and over"	"16+"	14344
	"2003"	"2003"	"February"	"2"	"35-39 years"	"35-39"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	424
	"2003"	"2003"	"February"	"2"	"35-39 years"	"35-39"	"Married"	"1"	"Excluded"	"999"	1875
	"2003"	"2003"	"February"	"2"	"35-39 years"	"35-39"	"Unmarried"	"2"	"0 -  8 years"	"19176"	489
	"2003"	"2003"	"February"	"2"	"35-39 years"	"35-39"	"Unmarried"	"2"	"9 - 11 years"	"19177"	702
	"2003"	"2003"	"February"	"2"	"35-39 years"	"35-39"	"Unmarried"	"2"	"12 years"	"19178"	1815
	"2003"	"2003"	"February"	"2"	"35-39 years"	"35-39"	"Unmarried"	"2"	"13 - 15 years"	"19179"	1065
	"2003"	"2003"	"February"	"2"	"35-39 years"	"35-39"	"Unmarried"	"2"	"16 years and over"	"16+"	763
